state_code,state_name,fuel,year,count
-1,All India,CNG ONLY,2025,1
-1,All India,ELECTRIC(BOV),2025,0
-1,All India,ETHANOL,2025,0
-1,All India,PETROL,2025,856
-1,All India,PETROL/ETHANOL,2025,6251
-1,All India,PURE EV,2025,4
-1,All India,CNG ONLY,2024,1
-1,All India,ELECTRIC(BOV),2024,0
-1,All India,ETHANOL,2024,0
-1,All India,PETROL,2024,856
-1,All India,PETROL/ETHANOL,2024,6251
-1,All India,PURE EV,2024,4
-1,All India,CNG ONLY,2023,1
-1,All India,ELECTRIC(BOV),2023,0
-1,All India,ETHANOL,2023,0
-1,All India,PETROL,2023,856
-1,All India,PETROL/ETHANOL,2023,6251
-1,All India,PURE EV,2023,4
