state_code,state_name,norms,year,count
-1,All India,BHARAT STAGE I,2025,0
-1,All India,BHARAT STAGE II,2025,0
-1,All India,BHARAT STAGE III,2025,0
-1,All India,BHARAT STAGE IV,2025,0
-1,All India,BHARAT STAGE VI,2025,7108
-1,All India,EURO 1,2025,0
-1,All India,NOT AVAILABLE,2025,4
-1,All India,BHARAT STAGE I,2024,0
-1,All India,BHARAT STAGE II,2024,0
-1,All India,BHARAT STAGE III,2024,0
-1,All India,BHARAT STAGE IV,2024,0
-1,All India,BHARAT STAGE VI,2024,7108
-1,All India,EURO 1,2024,0
-1,All India,NOT AVAILABLE,2024,4
-1,All India,BHARAT STAGE I,2023,0
-1,All India,BHARAT STAGE II,2023,0
-1,All India,BHARAT STAGE III,2023,0
-1,All India,BHARAT STAGE IV,2023,0
-1,All India,BHARAT STAGE VI,2023,7108
-1,All India,EURO 1,2023,0
-1,All India,NOT AVAILABLE,2023,4
