state_code,state_name
AN,Andaman & Nicobar Island
AP,Andhra Pradesh
AR,Arunachal Pradesh
AS,Assam
BR,Bihar
CG,Chhattisgarh
CH,Chandigarh
DD,UT of DNH and DD
DL,Delhi
GA,Goa
GJ,Gujarat
HP,Himachal Pradesh
HR,Haryana
JH,Jharkhand
JK,Jammu and Kashmir
KA,Karnataka
KL,Kerala
LA,Ladakh
LD,Lakshadweep
MH,Maharashtra
ML,Meghalaya
MN,Manipur
MP,Madhya Pradesh
MZ,Mizoram
NL,Nagaland
OR,Odisha
PB,Punjab
PY,Puducherry
RJ,Rajasthan
SK,Sikkim
TN,Tamil Nadu
TR,Tripura
UK,Uttarakhand
UP,Uttar Pradesh
WB,West Bengal
